ADM-CARIBEPLAZA,RCTGL5000504AD01.colombiamovil.corp,"CARIBE PLAZA",2012,RCTGL5000504AD01.COLOMBIAMOVIL.CORP,
MOD12-CARIBEPLAZA,CTGD5000504AS09.colombiamovil.corp,"CARIBE PLAZA",2012,CTGD5000504AS09.COLOMBIAMOVIL.CORP,
MOD01-CARIBEPLAZA,CTGD5000504AS01.colombiamovil.corp,"CARIBE PLAZA",2012,CTGD5000504AS01.COLOMBIAMOVIL.CORP,
MOD02-CARIBEPLAZA,CTGD5000504AS02.colombiamovil.corp,"CARIBE PLAZA",2012,CTGD5000504AS02.COLOMBIAMOVIL.CORP,
MOD03-CARIBEPLAZA,CTGD5000504AS03.colombiamovil.corp,"CARIBE PLAZA",2012,CTGD5000504AS03.COLOMBIAMOVIL.CORP,
MOD04-CARIBEPLAZA,CTGD5000504AS04.colombiamovil.corp,"CARIBE PLAZA",2012,CTGD5000504AS04.COLOMBIAMOVIL.CORP,
BOD-CARIBEPLAZA,RCTGL5000504BO01.colombiamovil.corp,"CARIBE PLAZA",2012,RCTGL5000504BO01.COLOMBIAMOVIL.CORP,
MOD01-COORDIALIDAD, BQAD500525AS17.colombiamovil.corp,COORDIALIDAD,2012, BQAD500525AS17.COLOMBIAMOVIL.CORP,
MOD02-COORDIALIDAD,BQAD500525AS09.colombiamovil.corp,COORDIALIDAD,2012,BQAD500525AS09.COLOMBIAMOVIL.CORP,
MOD03-COORDIALIDAD,BQAD500525AS10.colombiamovil.corp,COORDIALIDAD,2012,BQAD500525AS10.COLOMBIAMOVIL.CORP,
MOD04-COORDIALIDAD,BQAD500525AS08.colombiamovil.corp,COORDIALIDAD,2012,BQAD500525AS08.COLOMBIAMOVIL.CORP,
MOD05-COORDIALIDAD,BQAD500525AS11.colombiamovil.corp,COORDIALIDAD,2012,BQAD500525AS11.COLOMBIAMOVIL.CORP,
MOD06-COORDIALIDAD,BQAD500525AS05.colombiamovil.corp,COORDIALIDAD,2012,BQAD500525AS05.COLOMBIAMOVIL.CORP,
MOD07-COORDIALIDAD,BQAD500525AS03.colombiamovil.corp,COORDIALIDAD,2012,BQAD500525AS03.COLOMBIAMOVIL.CORP,
MOD08-COORDIALIDAD,BQAD500525AS04.colombiamovil.corp,COORDIALIDAD,2012,BQAD500525AS04.COLOMBIAMOVIL.CORP,
MOD09-COORDIALIDAD,BQAD500525AS02.colombiamovil.corp,COORDIALIDAD,2012,BQAD500525AS02.COLOMBIAMOVIL.CORP,
MOD10-COORDIALIDAD,BQAD500525AS06.colombiamovil.corp,COORDIALIDAD,2012,BQAD500525AS06.COLOMBIAMOVIL.CORP,
MOD12-COORDIALIDAD,BQAD500525AS07.colombiamovil.corp,COORDIALIDAD,2012,BQAD500525AS07.COLOMBIAMOVIL.CORP,
